Name,Date,TSP,PM10,Chloride,Nitrate,Sulfate,Lead,Dust
大社工業區,2018年1月,93,,,,,0.029,3.6
大寮區公所,2018年1月,79,,,,,0.042,1.54
大樹監測站,2018年1月,61,,,,,0.02,1.18
仁武國中,2018年1月,79,,,,,0.058,2.68
半屏山電信局,2018年1月,104,67,,,,0.014,1.21
左營國小,2018年1月,98,64,,,,0.006,1.13
永安工業區,2018年1月,83,,,,,0.052,2.96
西子灣中山大學,2018年1月,84,60,,,,0.043,1.31
岡山醫院,2018年1月,102,,,,,0.076,3.11
林園工業區,2018年1月,90,,,,,0.042,2.01
河濱國小,2018年1月,55,51,,,,0.026,1.04
阿蓮區公所,2018年1月,65,,,,,0.043,1.3
前鎮國小,2018年1月,109,72,,,,0.029,1.71
莊敬國小,2018年1月,87,70,,,,0.006,1.76
愛國國小,2018年1月,97,59,,,,0.014,2.1
楠梓區清潔隊,2018年1月,84,45,,,,0.021,1.99
路竹地政事務所,2018年1月,84,,,,,0.085,1.8
鼓山圖書分館,2018年1月,94,68,,,,0.014,1.27
衛生局中正辦公室,2018年1月,55,45,,,,0.02,1.93
環保局環境檢驗科,2018年1月,92,58,,,,0.02,1.16
大社工業區,2018年2月,102,,,,,0.055,4.61
大寮區公所,2018年2月,91,,,,,0.018,2.01
大樹監測站,2018年2月,65,,,,,0.015,1.94
仁武國中,2018年2月,86,,,,,0.033,3.6
半屏山電信局,2018年2月,62,38,,,,0.034,1.2
左營國小,2018年2月,59,32,,,,0.017,1.5
永安工業區,2018年2月,83,,,,,0.025,8.28
西子灣中山大學,2018年2月,48,28,,,,0.002,1.17
岡山醫院,2018年2月,84,,,,,0.017,4.4
林園工業區,2018年2月,94,,,,,0.002,4.38
河濱國小,2018年2月,67,52,,,,0.002,1.69
阿蓮區公所,2018年2月,69,,,,,0.024,1.54
前鎮國小,2018年2月,86,54,,,,0.017,2.05
莊敬國小,2018年2月,53,42,,,,0.034,1.68
愛國國小,2018年2月,70,46,,,,0.024,2.05
楠梓區清潔隊,2018年2月,93,54,,,,0.018,2.39
路竹地政事務所,2018年2月,84,,,,,0.031,1.72
鼓山圖書分館,2018年2月,63,45,,,,0.002,1.28
衛生局中正辦公室,2018年2月,70,38,,,,0.002,1.68
環保局環境檢驗科,2018年2月,76,46,,,,0.017,1.46
大社工業區,2018年3月,108,,9.9,19.8,17.1,0.062,4.22
大寮區公所,2018年3月,92,,9.75,26.1,18.7,0.046,3.76
大樹監測站,2018年3月,79,,7.58,24,18.1,0.046,1.96
仁武國中,2018年3月,108,,10,23,18.4,0.052,2.63
半屏山電信局,2018年3月,69,46,5.18,25.4,17.9,0.048,2.38
左營國小,2018年3月,54,36,4.99,24.3,15.2,0.068,1.55
永安工業區,2018年3月,101,,9.45,14.4,16,0.081,3.64
西子灣中山大學,2018年3月,55,36,14.8,21.5,16.2,0.061,1.85
岡山醫院,2018年3月,120,,12,19.3,20.8,0.05,2.58
林園工業區,2018年3月,94,,10.7,23.9,23.2,0.05,2.98
河濱國小,2018年3月,56,42,5.78,23.5,16.3,0.095,2.62
阿蓮區公所,2018年3月,80,,7.87,16.9,14.3,0.042,2.11
前鎮國小,2018年3月,98,48,10.2,23.1,28.4,0.082,3.72
莊敬國小,2018年3月,53,50,4.68,23.4,17.4,0.064,2.1
愛國國小,2018年3月,74,44,7.21,21,18.4,0.067,2.39
楠梓區清潔隊,2018年3月,106,54,10.6,20.5,17.1,0.077,2.07
路竹地政事務所,2018年3月,103,,9.75,15.2,18,0.065,1.91
鼓山圖書分館,2018年3月,58,40,5.3,22.6,15.4,0.078,1.49
衛生局中正辦公室,2018年3月,61,39,5.42,24.1,17,0.078,2
環保局環境檢驗科,2018年3月,59,38,4.17,21.8,16.6,0.066,2.08
大社工業區,2018年4月,79,,,,,0.036,2.79
大寮區公所,2018年4月,75,,,,,0.062,2.28
大樹監測站,2018年4月,63,,,,,0.056,2.09
仁武國中,2018年4月,78,,,,,0.035,3.15
半屏山電信局,2018年4月,72,52,,,,0.044,2.27
左營國小,2018年4月,61,33,,,,0.028,1.48
永安工業區,2018年4月,84,,,,,0.116,2.25
西子灣中山大學,2018年4月,51,30,,,,0.002,1.91
岡山醫院,2018年4月,82,,,,,0.062,3.41
林園工業區,2018年4月,78,,,,,0.033,3.18
河濱國小,2018年4月,59,40,,,,0.054,1.79
阿蓮區公所,2018年4月,63,,,,,0.037,1.38
前鎮國小,2018年4月,82,48,,,,0.067,4.01
莊敬國小,2018年4月,67,50,,,,0.069,2.01
愛國國小,2018年4月,78,41,,,,0.034,2.61
楠梓區清潔隊,2018年4月,74,37,,,,0.037,2.64
路竹地政事務所,2018年4月,66,,,,,0.055,2.34
鼓山圖書分館,2018年4月,50,31,,,,0.023,3.67
衛生局中正辦公室,2018年4月,60,31,,,,0.057,2.35
環保局環境檢驗科,2018年4月,74,38,,,,0.044,2.35
大社工業區,2018年5月,55,,,,,0.036,2.96
大寮區公所,2018年5月,43,,,,,0.021,2.93
大樹監測站,2018年5月,37,,,,,0.05,2.26
仁武國中,2018年5月,44,,,,,0.058,1.83
半屏山電信局,2018年5月,40,23,,,,0.004,2.29
左營國小,2018年5月,49,38,,,,0.047,4.69
永安工業區,2018年5月,52,,,,,0.031,2.74
西子灣中山大學,2018年5月,22,12,,,,0.021,1.3
岡山醫院,2018年5月,39,,,,,0.03,1.75
林園工業區,2018年5月,36,,,,,0.016,2.46
河濱國小,2018年5月,34,21,,,,0.027,1.63
阿蓮區公所,2018年5月,35,,,,,0.014,1.85
前鎮國小,2018年5月,49,27,,,,0.055,4.05
莊敬國小,2018年5月,35,25,,,,0.011,1.91
愛國國小,2018年5月,35,19,,,,0.025,2.65
楠梓區清潔隊,2018年5月,40,19,,,,0.017,1.96
路竹地政事務所,2018年5月,41,,,,,0.049,2.34
鼓山圖書分館,2018年5月,26,17,,,,0.004,1.9
衛生局中正辦公室,2018年5月,34,18,,,,0.011,2.32
環保局環境檢驗科,2018年5月,44,23,,,,0.029,1.81
大社工業區,2018年6月,58,,1.45,4.91,11.7,0.042,1.82
大寮區公所,2018年6月,41,,1.6,4.78,15,0.006,3.84
大樹監測站,2018年6月,37,,1.22,5.6,9.68,0.019,0.85
仁武國中,2018年6月,48,,1.17,4.44,8.77,0.034,3.25
半屏山電信局,2018年6月,37,22,2.27,5.31,12.1,0.021,1.8
左營國小,2018年6月,22,16,2.39,4.1,7.55,0.034,1.47
永安工業區,2018年6月,45,,4.04,5.35,11.6,0.014,0.84
西子灣中山大學,2018年6月,35,21,10.9,6.74,12.1,0.013,0.8
岡山醫院,2018年6月,20,,1.78,3.04,7.28,0.014,1.39
林園工業區,2018年6月,48,,7.31,3.8,19.3,0.047,1.62
河濱國小,2018年6月,29,17,2.9,6.42,11.9,0.021,1.27
阿蓮區公所,2018年6月,33,,1.48,4.91,9.4,0.006,0.82
前鎮國小,2018年6月,79,37,5.94,12.5,23.5,0.021,1.19
莊敬國小,2018年6月,33,23,1.84,4.4,12.3,0.054,0.4
愛國國小,2018年6月,39,23,3.43,10.4,19.6,0.034,2.05
楠梓區清潔隊,2018年6月,43,21,1.23,4.71,8.39,0.021,0.79
路竹地政事務所,2018年6月,47,,2.83,4.06,12.8,0.012,0.86
鼓山圖書分館,2018年6月,27,16,1.95,5.15,7.49,0.034,0.82
衛生局中正辦公室,2018年6月,29,17,3.01,6.32,11.1,0.05,0.05
環保局環境檢驗科,2018年6月,38,21,2.07,7.13,14.3,0.02,0.65
大社工業區,2018年7月,67,,,,,0.013,2.17
大寮區公所,2018年7月,44,,,,,0.013,0.65
仁武國中,2018年7月,56,,,,,0.02,3.45
半屏山電信局,2018年7月,32,18,,,,0.022,1.65
左營國小,2018年7月,37,16,,,,0.022,1.23
永安工業區,2018年7月,56,,,,,0.086,2.87
西子灣中山大學,2018年7月,41,20,,,,0.013,1.19
岡山醫院,2018年7月,17,,,,,0.006,0.89
林園工業區,2018年7月,51,,,,,0.028,1.48
河濱國小,2018年7月,42,22,,,,0.028,1.24
阿蓮區公所,2018年7月,46,,,,,0.02,1.36
前鎮國小,2018年7月,78,37,,,,0.021,1.51
莊敬國小,2018年7月,29,20,,,,0.021,1.38
愛國國小,2018年7月,38,19,,,,0.014,1.51
楠梓區清潔隊,2018年7月,52,22,,,,0.014,0.88
路竹地政事務所,2018年7月,43,,,,,0.013,1.79
鼓山圖書分館,2018年7月,37,20,,,,0.022,1.47
衛生局中正辦公室,2018年7月,47,19,,,,0.005,1.35
環保局環境檢驗科,2018年7月,37,18,,,,0.04,0.88
大社工業區,2018年8月,26,,,,,0.018,2.53
大寮區公所,2018年8月,14,,,,,0.01,1.22
仁武國中,2018年8月,19,,,,,-0.009,4.52
半屏山電信局,2018年8月,30,16,,,,0.051,2.61
左營國小,2018年8月,22,14,,,,0.004,1.23
永安工業區,2018年8月,23,,,,,0.011,2.22
西子灣中山大學,2018年8月,28,13,,,,0.018,3.14
岡山醫院,2018年8月,32,,,,,0.011,2.02
林園工業區,2018年8月,25,,,,,0.004,2.76
河濱國小,2018年8月,22,11,,,,0.018,2.25
阿蓮區公所,2018年8月,18,,,,,0.017,1.64
前鎮國小,2018年8月,43,19,,,,0.011,2.62
莊敬國小,2018年8月,21,18,,,,0.018,1.86
愛國國小,2018年8月,24,12,,,,0.025,2.09
楠梓區清潔隊,2018年8月,21,12,,,,0.019,3.15
路竹地政事務所,2018年8月,18,,,,,0.017,1.68
鼓山圖書分館,2018年8月,18,11,,,,-0.016,2.71
衛生局中正辦公室,2018年8月,24,13,,,,0.004,1.31
環保局環境檢驗科,2018年8月,26,13,,,,0.017,2.4
大社工業區,2018年9月,68,,0.77,4.56,9.77,0.034,3.6
大寮區公所,2018年9月,31,,0.95,4.71,10.3,0.043,2.31
仁武國中,2018年9月,46,,1.13,4.75,10.4,0.006,3.38
半屏山電信局,2018年9月,26,15,1.41,3.88,7.73,0.013,2.31
左營國小,2018年9月,32,22,3.7,8.69,10,0.02,1.99
永安工業區,2018年9月,46,,2.82,6.05,10.1,0.013,4.28
西子灣中山大學,2018年9月,24,12,6.09,2.8,7.61,0.013,2.34
岡山醫院,2018年9月,64,,5.1,17.9,12.8,0.02,3.15
林園工業區,2018年9月,53,,11.4,6.02,17,0.048,1.41
河濱國小,2018年9月,27,16,1.76,3.94,8.1,0.006,2.46
阿蓮區公所,2018年9月,31,,0.9,5.59,9.48,0.013,0.83
前鎮國小,2018年9月,70,32,3.8,5.15,15.7,0.04,4.23
莊敬國小,2018年9月,22,17,1.33,3.6,7.53,0.015,2.49
愛國國小,2018年9月,31,16,2.74,5.15,9.19,0.02,2.74
楠梓區清潔隊,2018年9月,43,20,1.19,5.06,10.1,0.021,2.89
路竹地政事務所,2018年9月,46,,2.45,6.12,11.6,0.02,2.87
鼓山圖書分館,2018年9月,19,12,3.06,4.18,8.33,0.006,1.25
衛生局中正辦公室,2018年9月,25,11,1.49,3.9,7.55,0.005,2.6
環保局環境檢驗科,2018年9月,30,13,1.89,4.7,8.68,0.006,2.87
大社工業區,2018年10月,101,,,,,0.05,2.85
大寮區公所,2018年10月,79,,,,,0.041,2.13
仁武國中,2018年10月,91,,,,,0.042,1.89
半屏山電信局,2018年10月,130,68,,,,0.073,4.22
左營國小,2018年10月,89,51,,,,0.024,2.15
永安工業區,2018年10月,101,,,,,0.072,2.6
西子灣中山大學,2018年10月,103,51,,,,0.051,1.89
岡山醫院,2018年10月,104,,,,,0.074,2.54
林園工業區,2018年10月,86,,,,,0.054,2.28
河濱國小,2018年10月,100,60,,,,0.058,2.3
阿蓮區公所,2018年10月,74,,,,,0.047,1.45
前鎮國小,2018年10月,110,62,,,,0.07,2.98
莊敬國小,2018年10月,98,69,,,,0.076,1.92
愛國國小,2018年10月,100,47,,,,0.049,2.44
楠梓區清潔隊,2018年10月,100,35,,,,0.016,1.48
路竹地政事務所,2018年10月,99,,,,,0.05,2.25
鼓山圖書分館,2018年10月,91,52,,,,0.078,2.36
衛生局中正辦公室,2018年10月,101,51,,,,0.061,1.71
環保局環境檢驗科,2018年10月,104,51,,,,0.071,1.97
大社工業區,2018年11月,103,,,,,0.029,2.78
大寮區公所,2018年11月,98,,,,,0.016,1.3
仁武國中,2018年11月,115,,,,,0.1,2.88
半屏山電信局,2018年11月,104,53,,,,0.036,3.35
左營國小,2018年11月,65,38,,,,0.035,1.79
永安工業區,2018年11月,93,,,,,0.04,2.58
西子灣中山大學,2018年11月,77,35,,,,0.02,2.17
岡山醫院,2018年11月,106,,,,,0.016,4.39
林園工業區,2018年11月,98,,,,,0.023,2.26
河濱國小,2018年11月,84,42,,,,0.022,1.48
阿蓮區公所,2018年11月,80,,,,,0.015,2.5
前鎮國小,2018年11月,112,58,,,,0.034,3.18
莊敬國小,2018年11月,77,52,,,,0.03,1.72
勞工博物館,2018年11月,77,36,,,,0.042,1.19
愛國國小,2018年11月,110,44,,,,0.023,2.13
楠梓區清潔隊,2018年11月,103,40,,,,0.016,2.09
路竹地政事務所,2018年11月,89,,,,,0.027,1.7
鼓山圖書分館,2018年11月,66,38,,,,0.041,1.44
環保局環境檢驗科,2018年11月,78,36,,,,0.028,1.29
大社工業區,2018年12月,147,,1.95,19.1,12.4,0.032,2.58
大寮區公所,2018年12月,124,,1.45,16.2,13.9,0.012,2.36
仁武國中,2018年12月,134,,1.78,16.4,13.2,0.018,2.67
半屏山電信局,2018年12月,119,69,8.52,22.1,15.8,0.044,4.82
左營國小,2018年12月,90,52,9.74,20,13.8,0.019,2.18
永安工業區,2018年12月,111,,3.02,13.2,11.6,0.018,2.68
西子灣中山大學,2018年12月,87,48,25.9,22.6,18,0.011,1.77
岡山醫院,2018年12月,121,,3.31,14.1,12.3,0.011,4.66
林園工業區,2018年12月,143,,3.86,17.7,16.8,0.039,2.72
河濱國小,2018年12月,97,57,10.6,22.2,16.4,0.005,1.53
阿蓮區公所,2018年12月,102,,1.33,11.5,9.85,0.011,2.3
前鎮國小,2018年12月,111,68,6.65,25.6,18.5,0.043,2.38
莊敬國小,2018年12月,110,83,7.2,24.1,16.5,0.031,1.84
愛國國小,2018年12月,100,49,7.34,27.8,16.6,0.03,2.09
楠梓區清潔隊,2018年12月,84,52,1.74,14.4,10.6,0.001,2.49
路竹地政事務所,2018年12月,112,,2.04,13.6,12.1,0.012,2.77
鼓山圖書分館,2018年12月,80,49,10.8,21.1,14.9,0.018,1.37
衛生局中正辦公室,2018年12月,93,46,9.53,20,14.9,0.012,1.95
環保局環境檢驗科,2018年12月,97,50,7.66,25.5,15.8,0.03,2.07
